Keyword,Search Intent,Monthly Search Volume,Keyword Difficulty,CPC,Funnel Stage,Persona,Content Type,Triangulated Priority Score,_proposed_url (clean)
nearshore companies in mexico,Commercial,"1,300",45,21.8,BOFU,"Founder, COO, CEO",Directory / Guide,9.1,/services/nearshore-companies-in-mexico
mexico outsourcing,Commercial,"2,900",50,24.8,MOFU,"Founder, COO, CEO",Landing Page,9.4,/services/mexico-outsourcing
software development latin america,Commercial,880,52,25.5,MOFU,"CTO, Founder",Landing Page,9.2,/nearshore-software-development/software-development-latin-america
bpo in mexico,Commercial,720,48,22,MOFU,"COO, Head of Ops",Landing Page,9,/nearshore-bpo/bpo-in-mexico
nearshore call center,Commercial,"2,400",50,24,MOFU,"Head of CX, COO",Landing Page,9.2,/nearshore-support/nearshoring-call-center
nearshore solutions,Commercial,"3,600",55,28.5,MOFU,"Founder, COO, CEO",Landing Page,9.6,/services/nearshore-solutions
staffing agencies in guadalajara,Commercial,880,35,12,BOFU,"HR Director, COO",Directory / Guide,8.8,/locations/guadalajara/staffing-agencies-in-guadalajara
technical support outsourcing,Commercial,"3,600",55,22.9,MOFU,"Head of Support, CTO",Landing Page,9.3,/nearshore-support/technical-support-outsourcing
it companies in guadalajara,Commercial,"1,000",40,15.5,MOFU,"CTO, Founder, HR",Directory / Guide,8.9,/locations/guadalajara/it-companies-in-guadalajara
mexico's silicon valley,Informational,"1,300",38,0,TOFU,"Founder, CTO, CEO",Blog Post / Guide,8.7,/resources/mexico-s-silicon-valley
us companies in mexico,Informational,"2,400",42,19.5,TOFU,"CEO, Founder, COO",Blog Post / Listicle,9,/resources/us-companies-in-mexico
nearshore for fintech,Commercial,"1,600",68,35.5,MOFU,"CTO, Founder (Fintech)",Landing Page,9.7,/industries/nearshore-for-fintech
staffing solutions guadalajara,Commercial,"1,200",30,4.15,MOFU,"HR Director, COO",Landing Page,8.9,/locations/staffing-solutions-guadalajara
staffing solutions mexico city,Commercial,"1,200",30,4.15,MOFU,"HR Director, COO",Landing Page,8.9,/locations/staffing-solutions-mexico-city
accounts payable services,Commercial,880,22,1.21,MOFU,"Controller, AP Manager",Landing Page,8.7,/nearshore-accounting/accounts-payable-services
hire senior it project manager,Commercial,"8,100",35,7.13,BOFU,"CTO, IT Director",Landing Page,9,/nearshore-it-staffing/hire-senior-it-project-manager
recruitment process outsourcing,Commercial,"3,600",45,14.87,MOFU,"HR Director, Talent Lead",Landing Page,8.2,/rpo/recruitment-process-outsourcing
hire tax specialist nearshore,Commercial,"1,300",15,2.21,MOFU,"CFO, HR Director",Landing Page,8.6,/nearshore-accounting/hire-tax-specialist-nearshoring
nearshore sales,Commercial,"1,300",58,29,MOFU,"CRO, Head of Sales",Landing page,9.4,/nearshore-sales/nearshoring-sales
outsourced sales development representative,Commercial,"1,300",52,19.8,BOFU,"Head of Sales, CRO",Landing Page,9.1,/nearshore-sales/outsourced-sales-development-representative
nearshore cloud financial management,Commercial,"1,000",68,38,MOFU,"CFO, CTO, Head of FinOps",Landing Page,9.8,/nearshore-it-staffing/nearshoring-cloud-financial-management
outsourced treasury operations,Commercial,720,62,33.5,MOFU,"Treasurer, CFO",Landing Page,9.5,/nearshore-accounting/outsourced-treasury-operations
HIPAA compliant cloud hosting,Commercial,880,65,35.5,BOFU,"CTO, CISO (Healthcare)",Landing Page,9.7,/industries/healthcare/hipaa-compliant-cloud-hosting
hire Rust developer nearshore,Commercial,"1,300",60,31,BOFU,"CTO, VP of Engineering",Landing Page,9.4,/nearshore-it-staffing/hire-rust-developer-nearshoring
hire Kotlin developer nearshore,Commercial,"1,600",58,29.8,BOFU,"Head of Mobile, CTO",Landing Page,9.3,/nearshore-it-staffing/hire-kotlin-developer-nearshoring
nearshore GRC analyst,Commercial,720,64,34.8,BOFU,"CISO, Head of Compliance",Landing Page,9.6,/nearshore-it-staffing/nearshoring-grc-analyst
outsourced loan servicing,Commercial,"1,000",58,29,MOFU,Head of Servicing (Lender),Landing Page,9.4,/industries/financial-services/outsourced-loan-servicing
RCM services outsourcing,Commercial,"1,900",60,32.5,MOFU,"CFO, Head of Billing (Healthcare)",Landing Page,9.5,/industries/healthcare/rcm-services-outsourcing
nearshore IT risk management,Commercial,"1,300",62,33.8,MOFU,"CISO, IT Director",Landing Page,9.5,/nearshore-it-staffing/nearshoring-it-risk-management
what is revenue cycle management,Informational,"2,900",50,25,TOFU,"COO, CFO (Healthcare)",Guide,9.2,/resources/what-is-revenue-cycle-management
Deel vs Remote,Transactional,"2,400",45,21,MOFU,"HR Director, CFO, Founder",Comparison Page,9.1,/comparison/deel-vs-remote
nearshore for wealthtech,Commercial,720,68,39,MOFU,"CTO, Founder (WealthTech)",Landing Page,9.8,/industries/nearshore-for-wealthtech
outsourced internal audit,Commercial,"1,600",60,31.5,MOFU,"Head of Internal Audit, CFO",Landing Page,9.4,/nearshore-accounting/outsourced-internal-audit
hire devsecops engineer nearshore,Commercial,"1,000",70,41.8,BOFU,"CISO, Head of DevOps",Landing Page,10,/nearshore-it-staffing/hire-devsecops-engineer-nearshoring
nearshore clinical data analysis,Commercial,590,64,34,MOFU,"Head of Clinical Ops, Biostatistician",Landing Page,9.5,/industries/healthcare/nearshore-clinical-data-analysis
nearshore for investment management,Commercial,880,66,37.5,MOFU,"COO, CTO (IM)",Landing Page,9.7,/services/nearshore-for-investment-management
nearshore for community banks,Commercial,720,60,31,MOFU,"CEO, COO (Community Bank)",Landing Page,9.4,/industries/financial-services/nearshore-for-community-banks
outsourced medical transcription,Commercial,"1,300",52,25.8,BOFU,"HIM Director, Clinic Admin",Landing Page,9.2,/industries/healthcare/outsourced-medical-transcription
nearshore corporate finance,Commercial,"1,000",62,32.8,MOFU,"CFO, VP of Finance",Landing Page,9.5,/nearshore-accounting/nearshoring-corporate-finance
nearshore it security audit,Commercial,880,65,36,MOFU,"CISO, Head of Compliance",Landing Page,9.7,/nearshore-it-staffing/nearshoring-it-security-audit
nearshore for healthcare it,Commercial,"1,900",64,35,MOFU,"CIO, IT Director (Healthcare)",Landing Page,9.6,/services/nearshore-for-healthcare-it
how to manage a global team,Informational,"2,400",48,23.8,TOFU,"CEO, CHRO, Founder",Guide,9.2,/resources/how-to-manage-a-global-team
nearshore for financial services compliance,Commercial,720,68,39.5,MOFU,"CCO, General Counsel",Landing Page,9.8,/services/nearshore-for-financial-services-compliance
nearshore for healthcare revenue cycle,Commercial,"1,000",62,33,MOFU,"CFO, Head of RCM (Healthcare)",Landing Page,9.5,/services/nearshore-for-healthcare-revenue-cycle
nearshore it risk and compliance,Commercial,880,66,37.8,MOFU,"CISO, Head of GRC",Landing Page,9.7,/services/nearshore-it-risk-and-compliance
hire Swift developer nearshore,Commercial,"1,300",60,30.5,BOFU,"Head of Mobile, CTO",Landing Page,9.4,/nearshore-it-staffing/hire-swift-developer-nearshoring
hire Go developer nearshore,Commercial,"1,000",62,32,BOFU,"CTO, Back-End Lead",Landing Page,9.5,/nearshore-it-staffing/hire-go-developer-nearshoring
SOX compliance outsourcing,Commercial,720,68,39,BOFU,"CFO, Controller (Public Co.)",Landing Page,9.8,/nearshore-accounting/sox-compliance-outsourcing
GAAP accounting services,Commercial,"1,600",60,31.5,MOFU,"CFO, Controller",Landing Page,9.5,/nearshore-accounting/gaap-accounting-services
FDA compliance consulting,Commercial,880,65,36.5,MOFU,"Head of Regulatory, CEO (Life Sciences)",Landing Page,9.7,/industries/life-sciences/fda-compliance-consulting
GxP compliance services,Commercial,590,62,34,MOFU,Head of Quality (Pharma/Biotech),Landing Page,9.6,/industries/life-sciences/gxp-compliance-services
nearshore RevOps as a service,Commercial,720,60,31,MOFU,"CRO, Head of RevOps",Landing Page,9.4,/nearshore-sales/nearshoring-revops-as-a-service
nearshore Sales Operations as a service,Commercial,880,58,29.5,MOFU,"Head of Sales Ops, CRO",Landing Page,9.3,/nearshore-sales/nearshoring-sales-operations-as-a-service
manufacturing companies in monterrey,Informational,720,35,8,TOFU,"COO, Plant Manager",Directory / Guide,8.6,/locations/monterrey/manufacturing-companies-in-monterrey
maquiladoras in tijuana,Informational,"1,000",40,9.5,TOFU,"COO, Plant Manager",Guide,8.8,/locations/tijuana/maquiladoras-in-tijuana
what is a business continuity plan,Informational,"3,600",45,21,TOFU,"COO, CISO, CEO",Guide / Template,9.1,/resources/what-is-a-business-continuity-plan
what is a disaster recovery plan,Informational,"2,900",46,22.5,TOFU,"CIO, CISO, IT Director",Guide / Template,9.2,/resources/what-is-a-disaster-recovery-plan
nearshore for private credit funds,Commercial,320,68,39.5,MOFU,"Partner, COO (Credit Fund)",Landing Page,9.8,/services/nearshore-for-private-credit-funds
nearshore for hedge funds,Commercial,390,66,37,MOFU,"COO, Head of Research",Landing Page,9.7,/services/nearshore-for-hedge-funds
nearshore for investment banks,Commercial,480,68,39.5,MOFU,"COO, Head of Ops (IB)",Landing Page,9.8,/services/nearshore-for-investment-banks
nearshore for commercial real estate,Commercial,880,60,31,MOFU,"CRE Broker, Principal",Landing Page,9.4,/industries/real-estate/nearshore-for-commercial-real-estate
outsourced Argus modeling,Commercial,480,55,28.5,BOFU,"CRE Analyst, Principal",Landing Page,9.2,/industries/real-estate/outsourced-argus-modeling
nearshore for media buying,Commercial,720,58,29,MOFU,"Head of Media, Agency Owner",Landing Page,9.3,/services/nearshore-for-media-buying
outsourced ad operations,Commercial,"1,300",55,27.8,MOFU,"Ad Ops Manager, CTO",Landing Page,9.2,/nearshore-marketing/outsourced-ad-operations
nearshore for data science and analytics,Commercial,"1,600",62,33,MOFU,"Chief Data Officer, Head of Analytics",Landing Page,9.6,/services/nearshore-for-data-science-and-analytics
nearshore for cloud computing,Commercial,"1,900",60,31.5,MOFU,"Head of Infrastructure, CIO",Landing Page,9.5,/services/nearshore-for-cloud-computing
nearshore for cybersecurity,Commercial,"2,400",65,36.5,MOFU,"CISO, Head of Security",Landing Page,9.8,/services/nearshore-for-cybersecurity
nearshore for devops,Commercial,"1,600",62,32.5,MOFU,"Head of DevOps, CTO",Landing Page,9.6,/services/nearshore-for-devops
nearshore for quality assurance,Commercial,"1,900",58,29.8,MOFU,"QA Lead, Head of Eng.",Landing Page,9.4,/services/nearshore-for-quality-assurance
nearshore for technical support,Commercial,"2,900",55,27.5,MOFU,"Head of Support, CIO",Landing Page,9.5,/services/nearshore-for-technical-support
nearshore for back office support,Commercial,"1,600",50,24,MOFU,"COO, Operations Manager",Landing Page,9.2,/services/nearshore-for-back-office-support
nearshore for administrative support,Commercial,"1,300",48,22.5,MOFU,"COO, Executive",Landing Page,9.1,/services/nearshore-for-administrative-support
nearshore for sales support,Commercial,"1,000",52,25.8,MOFU,"Head of Sales, CRO",Landing Page,9.3,/services/nearshore-for-sales-support
nearshore for IT infrastructure,Commercial,"1,600",60,31,MOFU,"Head of Infrastructure, CIO",Landing Page,9.5,/services/nearshore-for-it-infrastructure
nearshore for network management,Commercial,"1,300",62,32.8,MOFU,"Head of Infrastructure, CIO",Landing Page,9.6,/services/nearshore-for-network-management
nearshore for database management,Commercial,"1,000",60,30.5,MOFU,"Head of Infrastructure, CTO",Landing Page,9.4,/services/nearshore-for-database-management
nearshore for cloud management,Commercial,"1,900",64,34.5,MOFU,"Head of Infrastructure, CIO",Landing Page,9.7,/services/nearshore-for-cloud-management
nearshore for data management,Commercial,"2,400",62,33,MOFU,"Chief Data Officer, CIO",Landing Page,9.6,/services/nearshore-for-data-management
nearshore for business intelligence,Commercial,"1,600",58,29,MOFU,"Chief Data Officer, BI Director",Landing Page,9.4,/services/nearshore-for-business-intelligence
nearshore for application development,Commercial,"2,900",60,31.8,MOFU,"CTO, VP of Engineering",Landing Page,9.5,/services/nearshore-for-application-development
hire senior python developer nearshore,Commercial,"1,300",65,35,BOFU,"VP of Engineering, CTO",Landing Page,9.7,/nearshore-it-staffing/hire-senior-python-developer-nearshoring
hire senior java developer nearshore,Commercial,"1,600",66,36.5,BOFU,"CTO, Enterprise Architect",Landing Page,9.8,/nearshore-it-staffing/hire-senior-java-developer-nearshoring
outsourced PCI compliance,Commercial,880,70,41,BOFU,"CISO, CTO (FinTech/E-comm)",Landing Page,9.9,/nearshore-it-staffing/outsourced-pci-compliance
outsourced CCPA compliance,Commercial,720,68,38.5,BOFU,"General Counsel, CISO",Landing Page,9.8,/services/legal-compliance/outsourced-ccpa-compliance
outsourced GDPR compliance,Commercial,"1,000",65,35.5,MOFU,"General Counsel, CISO",Landing Page,9.6,/services/legal-compliance/outsourced-gdpr-compliance
hire AWS certified developer nearshore,Commercial,"1,300",64,34.8,BOFU,"Head of Infrastructure, CTO",Landing Page,9.6,/nearshore-it-staffing/hire-aws-certified-developer-nearshoring
hire Azure certified developer nearshore,Commercial,"1,000",63,33,BOFU,"CTO, IT Director",Landing Page,9.5,/nearshore-it-staffing/hire-azure-certified-developer-nearshoring
outsourced financial controller services,Commercial,880,62,33.8,BOFU,"CFO, CEO",Landing Page,9.5,/nearshore-accounting/outsourced-financial-controller-services
outsourced revenue recognition,Commercial,720,65,36,BOFU,"Controller, CFO (SaaS)",Landing Page,9.7,/nearshore-accounting/outsourced-revenue-recognition
clinical trial management software dev,Commercial,590,68,39.5,BOFU,"CTO (HealthTech), Head of Clinical Ops",Landing Page,9.8,/industries/healthtech/clinical-trial-management-software-dev
medical credentialing services outsourcing,Commercial,"1,000",58,29.8,MOFU,"Clinic Administrator, COO (Healthcare)",Landing Page,9.4,/industries/healthcare/medical-credentialing-services-outsourcing
hire Salesforce marketing cloud developer,Commercial,720,64,35,BOFU,"CMO, Marketing Ops",Landing Page,9.6,/nearshore-it-staffing/hire-salesforce-marketing-cloud-developer
hire HubSpot implementation specialist,Commercial,880,55,28,BOFU,"Marketing Ops, Head of Sales",Landing Page,9.2,/nearshore-marketing/hire-hubspot-implementation-specialist
outsourced chargeback management,Commercial,"1,300",52,26.5,MOFU,"E-comm Owner, Head of Payments",Landing Page,9.1,/industries/ecommerce/outsourced-chargeback-management
nearshore for supply chain planning,Commercial,"1,000",60,31,MOFU,"Supply Chain Director, COO",Landing Page,9.4,/industries/logistics-supply-chain/nearshore-for-supply-chain-planning
nearshore for demand planning,Commercial,880,58,29.5,MOFU,"Demand Planner, Head of SCM",Landing Page,9.3,/industries/logistics-supply-chain/nearshore-for-demand-planning
outsourced quality management system,Commercial,"1,300",55,27.8,MOFU,"Head of Quality, COO (Manufacturing)",Landing Page,9.2,/industries/manufacturing/outsourced-quality-management-system
nearshore for capital raising,Commercial,720,65,37,BOFU,"Founder, CEO, CFO",Landing Page,9.6,/services/startups/nearshore-for-capital-raising
nearshore for investor reporting,Commercial,590,62,34.5,BOFU,"CFO, Head of IR, Fund Manager",Landing Page,9.5,/services/nearshore-for-investor-reporting
nearshore for fund accounting,Commercial,480,66,38,BOFU,"CFO, Controller (PE/VC/Hedge Fund)",Landing Page,9.7,/services/nearshore-for-fund-accounting
cost to build an app in mexico,Informational,"1,900",45,21.5,TOFU,"Founder, CTO",Guide / Report,9,/resources/cost-to-build-an-app-in-mexico
nearshore recruiting best practices,Informational,"1,300",48,23,TOFU,"HR Director, Hiring Manager",Guide / Checklist,8.9,/resources/nearshore-recruiting-best-practices
how to manage nearshore developers,Informational,"1,000",50,24.8,MOFU,"CTO, Engineering Manager",Guide,9.1,/resources/how-to-manage-nearshore-developers
cultural differences between us and mexico in business,Informational,"1,600",42,18.5,TOFU,"Founder, HR Director, Manager",Guide / Infographic,9,/resources/cultural-differences-between-us-and-mexico-in-business
best cities in mexico for software developers,Informational,880,38,15,TOFU,"Founder, CTO, HR",Blog Post / Comparison,8.8,/resources/best-cities-in-mexico-for-software-developers
nearshore for IoT development,Commercial,"1,300",62,32.8,MOFU,"CTO, Head of R&D",Landing Page,9.5,/nearshore-it-staffing/nearshoring-for-iot-development
nearshore for augmented reality,Commercial,720,65,35.8,MOFU,"Head of Innovation, CTO",Landing Page,9.6,/nearshore-it-staffing/nearshoring-for-augmented-reality
nearshore for virtual reality,Commercial,590,64,34.5,MOFU,"Head of Innovation, CTO",Landing Page,9.5,/nearshore-it-staffing/nearshoring-for-virtual-reality
nearshore for data warehousing,Commercial,"1,000",60,31,MOFU,"Head of Data, BI Director",Landing Page,9.4,/nearshore-it-staffing/nearshoring-for-data-warehousing
nearshore for data migration,Commercial,"1,300",58,29.8,MOFU,"IT Director, CIO",Landing Page,9.3,/nearshore-it-staffing/nearshoring-for-data-migration
nearshore for legacy system modernization,Commercial,880,62,33,MOFU,"CTO, CIO, Enterprise Architect",Landing Page,9.5,/nearshore-it-staffing/nearshoring-for-legacy-system-modernization
nearshore for microservices architecture,Commercial,720,65,36,MOFU,"CTO, Software Architect",Landing Page,9.6,/nearshore-it-staffing/nearshoring-for-microservices-architecture
nearshore for quality engineering,Commercial,"1,000",55,28.5,MOFU,"Head of QA, Head of Eng.",Landing Page,9.2,/nearshore-it-staffing/nearshoring-for-quality-engineering
nearshore for performance testing,Commercial,"1,300",58,29.8,MOFU,"QA Lead, SRE Lead",Landing Page,9.3,/nearshore-it-staffing/nearshoring-for-performance-testing
nearshore for security testing,Commercial,"1,600",62,33.5,MOFU,"CISO, Head of Security",Landing Page,9.5,/nearshore-it-staffing/nearshoring-for-security-testing
nearshore for accessibility testing,Commercial,880,50,24,MOFU,"QA Lead, Head of Product",Landing Page,9.1,/nearshore-it-staffing/nearshoring-for-accessibility-testing
nearshore for usability testing,Commercial,"1,000",52,25.8,MOFU,"UX Lead, Head of Product",Landing Page,9,/nearshore-creative/nearshoring-for-usability-testing
outsourced crm administration,Commercial,"1,300",55,27.8,MOFU,"Head of Sales Ops, IT Director",Landing Page,9.2,/nearshore-support/outsourced-crm-administration
outsourced erp administration,Commercial,880,60,31.5,MOFU,"CIO, IT Director",Landing Page,9.4,/nearshore-support/outsourced-erp-administration
nearshore for IT service management,Commercial,"1,000",58,29.8,MOFU,"IT Director, CIO",Landing Page,9.3,/nearshore-it-staffing/nearshoring-for-it-service-management
nearshore for professional services,Commercial,"1,900",58,29.5,MOFU,"Partner, COO",Landing Page,9.5,/nearshore-professional-services/nearshoring-for-professional-services
hire typescript developer nearshore,Commercial,"1,900",60,31,BOFU,"CTO, Front-End Lead",Landing Page,9.5,/nearshore-it-staffing/hire-typescript-developer-nearshoring
outsourced SOC 2 compliance,Commercial,"1,300",68,39.5,BOFU,"CISO, CTO",Landing Page,9.8,/services/compliance-management/outsourced-soc-2-compliance
outsourced ISO 27001 compliance,Commercial,"1,000",65,37.5,MOFU,"CISO, Head of Security",Landing Page,9.7,/services/compliance-management/outsourced-iso-27001-compliance
what is a business process outsourcing,Informational,"4,400",48,23.5,TOFU,"COO, Founder, CEO",Guide / Glossary,9.2,/resources/what-is-a-business-process-outsourcing
nearshore team extension model,Informational,"1,600",54,27,MOFU,"CTO, Engineering Manager",Guide,9.1,/resources/nearshore-team-extension-model
nearshore project-based model,Informational,"1,300",52,26,MOFU,"CTO, Project Manager",Guide,9,/resources/nearshore-project-based-model
nearshore build-operate-transfer,Commercial,880,58,29.5,MOFU,"CEO, COO, Founder",Landing Page,9.4,/services/nearshore-build-operate-transfer
nearshore captive center advisory,Commercial,590,62,33,MOFU,"CEO, COO, Founder",Landing Page,9.5,/services/nearshore-captive-center-advisory
nearshore for private companies,Commercial,"1,900",55,28.8,MOFU,"CEO, CFO, COO",Landing Page,9.4,/services/nearshore-for-private-companies
nearshore for public companies,Commercial,"1,300",60,32.5,MOFU,"CFO, General Counsel",Landing Page,9.6,/services/nearshore-for-public-companies
nearshore for mid-market companies,Commercial,"1,600",58,29,MOFU,"CEO, CFO, COO",Landing Page,9.5,/services/nearshore-for-mid-market-companies
nearshore for enterprise companies,Commercial,"2,400",62,34,MOFU,"CIO, COO, Department Head",Landing Page,9.7,/services/nearshore-for-enterprise-companies
nearshore for small businesses,Commercial,"1,900",48,23.5,MOFU,"Owner, Founder",Landing Page,9.2,/services/nearshore-for-small-businesses
nearshore for startups and smbs,Commercial,"1,300",50,25,MOFU,"Founder, Owner, CEO",Landing Page,9.3,/services/nearshore-for-startups-and-smbs
nearshore for non-profit organizations,Commercial,"1,000",52,24.8,MOFU,"Executive Director, COO (NFP)",Landing Page,9.1,/services/nearshore-for-non-profit-organizations
nearshore for educational institutions,Commercial,"1,300",55,27.8,MOFU,"University CIO, Dean, Provost",Landing Page,9.3,/services/nearshore-for-educational-institutions
nearshore for government agencies,Commercial,880,65,35.8,MOFU,"CIO, Program Manager (Gov)",Landing Page,9.7,/services/nearshore-for-government-agencies
nearshore for professional employer organizations,Commercial,590,58,29,MOFU,"PEO Owner, COO",Landing Page,9.4,/services/nearshore-for-professional-employer-organizations
nearshore for business process outsourcers,Commercial,720,55,28.5,MOFU,"BPO Owner, COO",Landing Page,9.3,/services/nearshore-for-business-process-outsourcers
nearshore for independent sponsors,Commercial,320,60,32.5,MOFU,"Independent Sponsor, Principal",Landing Page,9.5,/services/nearshore-for-independent-sponsors
nearshore for search funds,Commercial,390,58,30,MOFU,"Searcher, Principal",Landing Page,9.4,/services/nearshore-for-search-funds
nearshore for corporate venture capital,Commercial,480,62,34,MOFU,"CVC Partner, Head of Innovation",Landing Page,9.6,/services/nearshore-for-corporate-venture-capital
nearshore for family businesses,Commercial,720,54,26.8,MOFU,"Owner, CEO, Next-Gen Leader",Landing Page,9.2,/services/nearshore-for-family-businesses
nearshore for holding companies,Commercial,590,60,31.5,MOFU,"CEO, Partner, Portfolio Ops",Landing Page,9.5,/services/nearshore-for-holding-companies
nearshore for enterprise,Commercial,"2,400",62,34,MOFU,"CIO, COO, Department Head",Landing Page,9.7,/services/nearshore-for-enterprise
outsourced it for enterprise,Commercial,"1,900",60,31.8,MOFU,"IT Director, CIO",Landing Page,9.6,/services/enterprise/outsourced-it-for-enterprise
nearshore for smbs,Commercial,"1,600",58,29,MOFU,"Owner, Founder, CEO",Landing Page,9.5,/services/nearshore-for-smbs
hire Scala developer nearshore,Commercial,880,60,31.5,BOFU,"CTO, Back-End Lead",Landing Page,9.4,/nearshore-it-staffing/hire-scala-developer-nearshoring
hire Elixir developer nearshore,Commercial,590,58,29.8,BOFU,"CTO, Back-End Lead",Landing Page,9.3,/nearshore-it-staffing/hire-elixir-developer-nearshoring
hire Dart developer nearshore,Commercial,720,55,28,BOFU,"Head of Mobile, CTO",Landing Page,9.2,/nearshore-it-staffing/hire-dart-developer-nearshoring
outsourced NIST compliance,Commercial,"1,000",70,42,BOFU,"CISO, CTO (GovCon)",Landing Page,9.9,/nearshore-it-staffing/outsourced-nist-compliance
outsourced CMMC compliance,Commercial,880,72,44.5,BOFU,"CISO, CEO (GovCon)",Landing Page,10,/nearshore-it-staffing/outsourced-cmmc-compliance
outsourced FERPA compliance,Commercial,590,65,36,MOFU,"CIO, General Counsel (EdTech)",Landing Page,9.6,/industries/edtech/outsourced-ferpa-compliance
outsourced COPPA compliance,Commercial,480,62,34.5,MOFU,"General Counsel, CPO (EdTech)",Landing Page,9.5,/industries/edtech/outsourced-coppa-compliance
nearshore for edtech startups,Commercial,720,60,31.8,BOFU,"Founder, CTO (EdTech)",Landing Page,9.4,/services/startups/nearshore-for-edtech-startups
nearshore for healthtech startups,Commercial,880,64,35,BOFU,"Founder, CTO (HealthTech)",Landing Page,9.6,/services/startups/nearshore-for-healthtech-startups
nearshore for foodtech startups,Commercial,590,58,29.8,BOFU,"Founder, CTO (FoodTech)",Landing Page,9.3,/services/startups/nearshore-for-foodtech-startups
nearshore for cleantech startups,Commercial,480,62,33.5,BOFU,"Founder, CTO (CleanTech)",Landing Page,9.5,/services/startups/nearshore-for-cleantech-startups
what is a global workforce,Informational,"3,600",48,24,TOFU,"CHRO, CEO, Head of HR",Guide,9.3,/resources/what-is-a-global-workforce
talent density,Informational,"2,400",50,25.5,MOFU,"CEO, CHRO, Founder",Guide,9.2,/resources/talent-density
nearshore it asset management,Commercial,"1,300",58,29.8,MOFU,"IT Director, CIO",Landing Page,9.4,/nearshore-it-staffing/nearshoring-it-asset-management
outsourced it procurement,Commercial,"1,000",55,28,MOFU,"Head of Procurement, IT Director",Landing Page,9.3,/nearshore-it-staffing/outsourced-it-procurement
nearshore for private equity operations,Commercial,720,68,39.8,MOFU,"Portfolio Ops, Operating Partner",Landing Page,9.8,/services/private-equity/nearshore-for-private-equity-operations
nearshore for venture capital operations,Commercial,590,66,38.5,MOFU,"Head of Platform, COO (VC)",Landing Page,9.7,/services/venture-capital/nearshore-for-venture-capital-operations
nearshore for mining technology,Commercial,480,62,33,MOFU,"CTO, Head of Innovation (Mining)",Landing Page,9.5,/industries/mining/nearshore-for-mining-technology
nearshore for fisheries and aquaculture,Commercial,390,55,27.5,MOFU,"COO, Farm Manager",Landing Page,9.1,/industries/nearshore-for-fisheries-and-aquaculture
nearshore for forestry and paper,Commercial,480,58,29,MOFU,"COO, Plant Manager",Landing Page,9.2,/industries/nearshore-for-forestry-and-paper
nearshore for printing and packaging,Commercial,590,54,26.8,MOFU,"Owner, Production Manager",Landing Page,9,/industries/nearshore-for-printing-and-packaging
nearshore for business travel,Commercial,720,52,25.5,MOFU,"Travel Manager, COO",Landing Page,9.1,/industries/travel-tourism/nearshore-for-business-travel
nearshore for leisure travel,Commercial,880,50,24.8,MOFU,"Agency Owner, Head of Ops",Landing Page,9,/industries/travel-tourism/nearshore-for-leisure-travel
nearshore for luxury travel,Commercial,480,55,27.8,MOFU,"Agency Owner, Travel Advisor",Landing Page,9.2,/industries/travel-tourism/nearshore-for-luxury-travel
nearshore for airlines,Commercial,"1,000",58,29.5,MOFU,"Head of CX, CIO (Airlines)",Landing Page,9.4,/industries/travel-tourism/nearshore-for-airlines
nearshore for hotels and resorts,Commercial,"1,300",54,26.8,MOFU,"GM, COO (Hotel Group)",Landing Page,9.3,/industries/hospitality/nearshore-for-hotels-and-resorts
nearshore for restaurants and food service,Commercial,"1,600",52,25.5,MOFU,"COO, Franchise Owner",Landing Page,9.2,/industries/hospitality/nearshore-for-restaurants-and-food-service
nearshore for events and entertainment,Commercial,"1,000",55,27,MOFU,"Agency Owner, Head of Production",Landing Page,9.1,/industries/media-entertainment/nearshore-for-events-and-entertainment
nearshore for gaming and esports,Commercial,880,62,32.5,MOFU,"Studio Head, Esports Manager",Landing Page,9.5,/industries/nearshore-for-gaming-and-esports
nearshore for professional sports,Commercial,590,58,29.8,MOFU,"COO, Head of Analytics (Team)",Landing Page,9.3,/industries/media-entertainment/nearshore-for-professional-sports
nearshore for publishing and media,Commercial,"1,300",55,28,MOFU,"COO, Head of Production",Landing Page,9.4,/industries/nearshore-for-publishing-and-media
nearshore for advertising agencies,Commercial,"1,000",54,26.5,MOFU,"Agency Owner, COO",Landing Page,9.2,/services/nearshore-for-advertising-agencies
nearshore for public relations firms,Commercial,880,52,25.8,MOFU,"Agency Owner, President",Landing Page,9.1,/services/nearshore-for-public-relations-firms
nearshore for market research companies,Commercial,720,55,27.5,MOFU,"Head of Research, Partner",Landing Page,9.2,/services/nearshore-for-market-research-companies
nearshore for architectural firms,Commercial,880,52,25.8,MOFU,"Firm Principal, Partner",Landing Page,9.1,/services/nearshore-for-architectural-firms
nearshore for management consulting firms,Commercial,"1,000",60,31.8,MOFU,"Partner, Head of Delivery",Landing Page,9.6,/services/nearshore-for-management-consulting-firms
nearshore for it consulting firms,Commercial,"1,300",62,33.5,MOFU,"Partner, Head of Delivery",Landing Page,9.7,/services/nearshore-for-it-consulting-firms
nearshore for enterprise it,Commercial,"2,400",65,35,MOFU,"CIO, VP of IT",Landing Page,9.8,/services/enterprise/nearshore-for-enterprise-it
outsourced computer vision engineer,Commercial,880,70,41.5,BOFU,"Head of AI/ML, CTO",Landing Page,10,/nearshore-it-staffing/outsourced-computer-vision-engineer
